floor_rate,date,block_number,charged_static_floor_gas,charged_regular_gas_8279,incremental_data_gas_8279
96,2026-04-05,24816684,92001740.03005053,92572803.54114126,571063.5110907317
96,2026-04-06,24817002,72301299.65634161,72874989.83485675,573690.1785151294
96,2026-04-06,24817375,4049532.233202383,4091388.233202383,41856.0
96,2026-04-06,24817406,10116226.746479725,10235144.444739187,118917.6982594626
96,2026-04-06,24817502,34126582.164568074,34558865.095949315,432282.93138123734
96,2026-04-06,24817674,15176792.701927187,16056753.631168978,879960.9292417903
96,2026-04-06,24817762,41624034.24049212,42523027.76306129,898993.5225691709
96,2026-04-06,24817784,38552574.187370434,39233852.406254396,681278.2188839561
96,2026-04-06,24817991,25180131.342918284,25955754.615286477,775623.2723681931
96,2026-04-06,24817996,80158256.79175897,82152652.18884623,1994395.3970872632
96,2026-04-06,24818039,53442763.75052332,53973080.494325586,530316.743802269
96,2026-04-06,24818055,71578397.33716427,73834860.75354466,2256463.4163803877
96,2026-04-06,24818322,10744086.235152727,10997323.884993788,253237.64984106107
96,2026-04-06,24818566,13745225.37919042,14590877.534148034,845652.1549576132
96,2026-04-06,24818756,84831001.97866887,86443061.74637441,1612059.7677055474
96,2026-04-06,24819006,45376121.34192606,45798388.19625228,422266.8543262162
96,2026-04-06,24819234,22394229.577375673,23462816.034035373,1068586.4566596977
96,2026-04-06,24819298,36862136.02506559,38407180.199077055,1545044.174011462
96,2026-04-06,24819302,83349904.91294986,84220289.00030956,870384.0873597084
96,2026-04-06,24819412,30427925.783344414,31285266.85699233,857341.0736479196
96,2026-04-06,24819565,29796595.99618756,30455802.732956327,659206.736768769
96,2026-04-06,24819591,31882982.877244443,32465340.689622086,582357.8123776425
96,2026-04-06,24819612,30919205.210348874,32063349.734686278,1144144.5243374002
96,2026-04-06,24819797,82046669.9451273,84513932.85760266,2467262.912475373
96,2026-04-06,24819912,60510348.61891678,62971106.91450563,2460758.295588855
96,2026-04-06,24819948,33681634.384646595,34775047.01450166,1093412.6298550607
96,2026-04-06,24820433,77115374.9599412,84570839.78122583,7455464.821284642
96,2026-04-06,24820668,35435666.601171464,37245427.64577487,1809761.0446034037
96,2026-04-06,24821393,27514281.2993722,28599645.210779328,1085363.911407127
96,2026-04-06,24821588,4384587.991599456,4401244.973260813,16656.98166135706
96,2026-04-06,24821612,41953963.36787084,42439536.22308597,485572.8552151319
96,2026-04-06,24821778,41613446.02591566,43108278.307335384,1494832.2814197277
96,2026-04-06,24821831,55320268.069797345,58088537.91585623,2768269.8460588846
96,2026-04-06,24821834,17675581.341640424,17905729.711695306,230148.3700548822
96,2026-04-06,24821844,59131803.25630384,60967218.899655245,1835415.643351408
96,2026-04-06,24821866,36277388.88248608,38350717.92559475,2073329.0431086605
96,2026-04-06,24822269,44855969.4877889,46152448.205001205,1296478.717212301
96,2026-04-06,24822396,47989466.37074204,49719288.64398296,1729822.273240922
96,2026-04-06,24822497,28505451.289985064,28958637.520825036,453186.230839973
96,2026-04-06,24822592,35811011.0804448,36486306.24928819,675295.1688433822
96,2026-04-06,24822758,29616376.229116384,30254721.165300924,638344.9361845397
96,2026-04-06,24822915,43713394.76630869,45136609.955742545,1423215.189433859
96,2026-04-06,24822943,40341370.88616213,41542344.63539324,1200973.7492311073
96,2026-04-06,24823039,17864335.567092013,18801047.619954262,936712.05286225
96,2026-04-06,24823154,44425294.351553984,45794451.56813671,1369157.2165827162
96,2026-04-06,24823428,2645638.926134711,2645638.926134711,0.0
96,2026-04-06,24823450,14781877.071345823,15391236.191885507,609359.1205396825
96,2026-04-06,24823466,47911785.79906536,50895348.82285586,2983563.0237905043
96,2026-04-06,24823748,43737051.54336421,44001903.786433965,264852.24306974636
96,2026-04-06,24823755,62367400.72324171,63306394.50925524,938993.7860135289
96,2026-04-06,24823881,80107208.62284794,81972654.05069624,1865445.4278482874
96,2026-04-07,24824084,50262321.05798755,50677144.671586774,414823.61359922466
96,2026-04-07,24824182,52925866.624341555,55940914.12393089,3015047.4995893384
96,2026-04-07,24824229,27215304.20441886,27974809.788653035,759505.5842341759
96,2026-04-07,24824320,76397521.79289314,78536911.25816801,2139389.465274861
96,2026-04-07,24824339,13117640.258281901,13670060.916532807,552420.6582509056
96,2026-04-07,24824923,17578873.735778548,19121318.542097583,1542444.8063190356
96,2026-04-07,24825052,48467694.13816649,49607061.45192484,1139367.3137583518
96,2026-04-07,24825109,42575916.311909676,44470864.67449737,1894948.362587695
96,2026-04-07,24825273,46179017.194890514,46883088.91513327,704071.720242753
96,2026-04-07,24825506,48340485.66362718,50516471.66363505,2175986.0000078785
96,2026-04-07,24825593,1912262.451998682,1923712.2027632927,11449.750764610842
96,2026-04-07,24825603,58479949.87899652,59479487.164673425,999537.2856769003
96,2026-04-07,24825754,42049002.6576263,43431604.592203364,1382601.934577062
96,2026-04-07,24825962,22279397.063680496,22816292.51882833,536895.4551478338
96,2026-04-07,24826194,54103975.10640212,55162188.82361627,1058213.717214156
96,2026-04-07,24826545,40108640.47111072,41714740.30266356,1606099.8315528424
96,2026-04-07,24826560,30592904.077322103,31555620.433148317,962716.3558262169
96,2026-04-07,24826827,51421529.342879415,52102073.239783965,680543.8969045517
96,2026-04-07,24827170,52441885.91583022,53979782.5458502,1537896.6300199823
96,2026-04-07,24827182,23059999.388256595,24496011.936876994,1436012.5486203996
96,2026-04-07,24827344,78361137.25152844,82537163.87653212,4176026.6250036843
96,2026-04-07,24827410,70844933.12019876,71313339.50442362,468406.38422486646
96,2026-04-07,24827423,57418221.2051554,60240830.0859655,2822608.880810097
96,2026-04-07,24827580,36414010.910644524,37147064.44861039,733053.5379658629
96,2026-04-07,24827763,67464850.22721991,70381085.43119413,2916235.203974219
96,2026-04-07,24827849,45120165.901671246,48715897.37264484,3595731.4709735997
96,2026-04-07,24828201,26480911.33463155,27103065.326948605,622153.9923170565
96,2026-04-07,24828417,24746456.945160616,26507680.110725954,1761223.1655653403
96,2026-04-07,24828470,33645903.72666365,35638624.19482671,1992720.4681630572
96,2026-04-07,24828590,37417537.87092874,39636906.45906515,2219368.5881364075
96,2026-04-07,24828788,13983329.104304722,14606123.520947574,622794.4166428531
96,2026-04-07,24829024,39442644.10804148,41596595.33180092,2153951.2237594477
96,2026-04-07,24829032,45771312.73700347,47804068.67298695,2032755.9359834753
96,2026-04-07,24829141,31545516.509930022,32862023.38993904,1316506.880009018
96,2026-04-07,24829277,17247276.39780366,17439422.997618392,192146.59981473294
96,2026-04-07,24829602,31704222.307323694,32822424.285379905,1118201.9780562106
96,2026-04-07,24829623,74295773.58492108,75803005.18200324,1507231.5970821604
96,2026-04-07,24829786,63847183.83618363,66844921.409576386,2997737.5733927586
96,2026-04-07,24829944,61214163.305822596,63900795.8449339,2686632.539111307
96,2026-04-07,24829964,26104941.39706329,26634705.680825043,529764.2837617563
96,2026-04-07,24830298,50952849.52460072,52063771.59511976,1110922.070519044
96,2026-04-07,24830423,55330275.0345466,55370614.225875616,40339.191329019406
96,2026-04-07,24830475,36542188.842284836,37918746.86031435,1376558.0180295112
96,2026-04-07,24830769,44355111.719931416,44895902.66077599,540790.9408445676
96,2026-04-07,24830966,92130015.6527223,94143316.04407746,2013300.391355153
96,2026-04-07,24830997,34437166.63322923,35152093.38197437,714926.7487451332
96,2026-04-07,24831102,89397825.61588168,91010459.18068266,1612633.5648009763
96,2026-04-07,24831124,35398269.5517113,36358548.45362307,960278.9019117779
96,2026-04-07,24831179,25494168.338889237,26411520.333473116,917351.9945838782
96,2026-04-07,24831200,32320019.94475782,32911308.239492685,591288.2947348652
96,2026-04-08,24831380,37422849.96506418,39364498.79136794,1941648.8263037563
96,2026-04-08,24831539,69243447.11121811,70950563.2141591,1707116.1029409913
96,2026-04-08,24831649,46462292.1003375,47614777.04103866,1152484.9407011678
96,2026-04-08,24831708,32953499.85600649,34161358.59192085,1207858.7359143614
96,2026-04-08,24831969,54771479.92184304,57845382.635093234,3073902.7132501965
96,2026-04-08,24832025,23771328.232933883,24403350.10277626,632021.8698423785
96,2026-04-08,24832040,38724528.095730685,40789944.69406451,2065416.598333833
96,2026-04-08,24832150,32463513.49936701,34351502.65410429,1887989.154737279
96,2026-04-08,24832155,41165939.87235704,43670290.92584171,2504351.0534846694
96,2026-04-08,24832181,44973615.15801301,47724642.741993785,2751027.5839807717
96,2026-04-08,24832234,47299069.019355975,48910343.610778056,1611274.5914220784
96,2026-04-08,24832289,19119333.764317926,20504207.429758392,1384873.6654404663
96,2026-04-08,24832581,38004933.5531544,38524203.980837144,519270.4276827371
96,2026-04-08,24832768,53675716.0568598,54369683.193263784,693967.1364039831
96,2026-04-08,24832772,32786201.141448215,33636198.58002995,849997.4385817327
96,2026-04-08,24832852,43196078.545117676,44757608.41853216,1561529.8734144887
96,2026-04-08,24833003,34175337.731881104,35758924.96298579,1583587.2311046903
96,2026-04-08,24833119,33330135.943935536,34557842.07963711,1227706.1357015728
96,2026-04-08,24833120,20213662.9867099,21231682.03051745,1018019.0438075527
96,2026-04-08,24833271,24435734.862062197,25095465.980482105,659731.1184199096
96,2026-04-08,24833609,43531235.377254955,44705886.38390529,1174651.0066503393
96,2026-04-08,24833934,25592758.909761615,27844968.912341215,2252210.0025795978
96,2026-04-08,24833949,44000065.527482,45460068.60130279,1460003.0738207859
96,2026-04-08,24834118,67289093.5062638,69425422.74415407,2136329.2378902663
96,2026-04-08,24834168,11700406.12297749,12058984.705284737,358578.5823072465
96,2026-04-08,24834573,65059495.975231655,66441540.015899055,1382044.0406674016
96,2026-04-08,24834758,53381356.09551375,57566747.15641425,4185391.0609004903
96,2026-04-08,24834947,18581050.659387924,20203815.17831758,1622764.5189296554
96,2026-04-08,24834962,66086985.59517526,68435065.88224171,2348080.2870664536
96,2026-04-08,24835114,43691452.20614165,46394903.64426248,2703451.438120824
96,2026-04-08,24835223,52239531.81448888,54539615.76923931,2300083.95475042
96,2026-04-08,24835501,30920784.512304,31843663.33361364,922878.821309641
96,2026-04-08,24835909,33409507.143179707,34633202.29133658,1223695.148156871
96,2026-04-08,24836151,27306727.14790969,27778026.71720432,471299.5692946324
96,2026-04-08,24836188,16017320.612851938,16805193.200865205,787872.5880132664
96,2026-04-08,24836276,38366037.72081431,39524252.236561224,1158214.5157469136
96,2026-04-08,24836284,24945439.60509593,27904633.760901295,2959194.155805362
96,2026-04-08,24836588,56000871.92100729,60000219.79132555,3999347.870318259
96,2026-04-08,24836640,69889360.71567239,71972041.80666125,2082681.0909888495
96,2026-04-08,24836816,39275642.30339115,41522900.04789812,2247257.7445069673
96,2026-04-08,24836826,60682031.54443885,66695631.28821041,6013599.743771563
96,2026-04-08,24836944,83977698.09987314,92280471.82462044,8302773.7247473085
96,2026-04-08,24836984,30981244.70192048,32096516.144962627,1115271.4430421484
96,2026-04-08,24837578,35697181.080935635,35821268.91871429,124087.8377786561
96,2026-04-08,24837674,16481731.992043983,17550155.47695202,1068423.4849080383
96,2026-04-08,24837732,6060838.79008489,6666799.63526152,605960.8451766302
96,2026-04-08,24837884,31627695.515700314,32959526.009126168,1331830.4934258526
96,2026-04-08,24838042,48294948.792147644,51968020.90727731,3673072.115129666
96,2026-04-08,24838122,41364694.501995735,42299257.29424294,934562.79224721
96,2026-04-08,24838297,30814421.03806894,31936540.658165615,1122119.6200966763
96,2026-04-09,24838690,19083342.492335,20088719.504626423,1005377.0122914233
96,2026-04-09,24839167,43727985.32154253,45165334.81809598,1437349.4965534504
96,2026-04-09,24839513,63440890.917190365,65144123.36246127,1703232.4452709057
96,2026-04-09,24839623,26224051.91335662,27029849.284720358,805797.3713637382
96,2026-04-09,24839894,42745406.990269005,44401113.38469744,1655706.3944284366
96,2026-04-09,24839968,46142598.690699935,47612901.632627584,1470302.9419276486
96,2026-04-09,24840203,30063500.66418915,31233406.09625597,1169905.4320668185
96,2026-04-09,24840291,33701512.69129435,34586571.47610495,885058.7848106029
96,2026-04-09,24840299,19974157.05198535,20674217.00877776,700059.956792409
96,2026-04-09,24840358,73746797.00855586,75799592.92591937,2052795.917363518
96,2026-04-09,24840380,1620850.4896305113,1623922.4896305113,3072.0
96,2026-04-09,24840704,45521896.41783698,46572143.31381829,1050246.895981313
96,2026-04-09,24841049,42139554.2519206,42917753.47716394,778199.2252433335
96,2026-04-09,24841166,78825858.3059072,83189875.01101819,4364016.705110982
96,2026-04-09,24841206,13039936.005503053,13144063.349041514,104127.34353846105
96,2026-04-09,24841439,68515601.6405951,71391468.22441092,2875866.583815817
96,2026-04-09,24841474,36230816.516789705,37394410.608721234,1163594.091931529
96,2026-04-09,24841709,65089603.23968585,66300773.30332529,1211170.0636394413
96,2026-04-09,24841718,38157780.17830009,39624075.829498485,1466295.6511983948
96,2026-04-09,24841863,26811805.882929776,27621409.690834492,809603.8079047179
96,2026-04-09,24842236,28181868.2888111,28929153.681216273,747285.3924051767
96,2026-04-09,24842344,27786788.324613076,28501502.406319663,714714.0817065879
96,2026-04-09,24842424,30600367.682390984,31470909.18147729,870541.4990863056
96,2026-04-09,24842435,41341495.73105045,42874119.75143081,1532624.0203803638
96,2026-04-09,24842538,30802728.23203857,31229763.22362559,427034.99158701784
96,2026-04-09,24842541,30561379.825049825,30890811.412254762,329431.5872049397
96,2026-04-09,24842550,35229715.77292022,36526026.92271541,1296311.1497951949
96,2026-04-09,24842609,60279943.86092035,62532886.12291277,2252942.2619924275
96,2026-04-09,24842847,85998305.43909837,87910547.95307569,1912242.513977307
96,2026-04-09,24843156,71535346.34000213,73130908.0883656,1595561.7483634686
96,2026-04-09,24843164,11082562.885407778,11137575.012357343,55012.12694956636
96,2026-04-09,24843322,69950699.01883173,72642095.37168103,2691396.352849306
96,2026-04-09,24843346,16496500.477988664,16715158.682072783,218658.20408411953
96,2026-04-09,24843376,47537201.14538468,48363936.79454444,826735.6491597717
96,2026-04-09,24843641,38937691.611507915,40921308.10097283,1983616.4894649144
96,2026-04-09,24843727,8093371.19696431,8568904.567278018,475533.3703137089
96,2026-04-09,24843779,56000247.03519696,58627619.88343285,2627372.8482358865
96,2026-04-09,24843806,69635179.58662333,71567393.60376363,1932214.0171402986
96,2026-04-09,24843931,78900871.85260563,81205978.60097115,2305106.748365522
96,2026-04-09,24843980,52451150.259392686,52941139.21814605,489988.9587533631
96,2026-04-09,24843983,68664369.8283267,71090109.05589259,2425739.2275658837
96,2026-04-09,24844042,31455738.60679659,32246932.83886163,791194.2320650406
96,2026-04-09,24844199,29231699.20170512,30339912.924307432,1108213.7226023101
96,2026-04-09,24844568,28194548.614166066,30033779.86184437,1839231.247678302
96,2026-04-09,24844736,32080383.371126898,34036410.63357314,1956027.2624462405
96,2026-04-09,24844766,20796335.20504418,21499665.997090574,703330.7920463913
96,2026-04-09,24844982,50983354.71627778,51719989.74952147,736635.0332436904
96,2026-04-09,24844999,45428707.89888592,45818851.12977694,390143.23089101794
96,2026-04-09,24845192,36402569.6584855,38341006.01069419,1938436.352208694
96,2026-04-09,24845463,50767248.76129112,53267435.86798766,2500187.1066965484
96,2026-04-10,24845635,65519181.70169097,68033470.84411813,2514289.142427167
96,2026-04-10,24845662,60531634.87246658,62548748.73544374,2017113.8629771604
96,2026-04-10,24845664,31189856.208547644,32694967.237154122,1505111.028606476
96,2026-04-10,24846024,78014913.27998035,80354874.37806855,2339961.0980882146
96,2026-04-10,24846105,53984334.80535744,56938079.397694595,2953744.592337147
96,2026-04-10,24846197,54134107.816752866,56797650.96126958,2663543.144516716
96,2026-04-10,24846212,23447592.39740657,23493421.333365932,45828.93595936316
96,2026-04-10,24846225,29797442.47157177,30266025.91040327,468583.4388314992
96,2026-04-10,24846295,16521020.128502393,17844112.163290836,1323092.034788445
96,2026-04-10,24846386,23963165.169480935,24642430.168930784,679264.9994498495
96,2026-04-10,24846509,5594277.878917838,5651536.7229297105,57258.84401187228
96,2026-04-10,24846517,45446258.72863046,45963278.72035077,517019.9917203081
96,2026-04-10,24846786,42220819.51941772,43439487.005135715,1218667.4857179995
96,2026-04-10,24846793,32436481.96014221,34078639.89324485,1642157.9331026375
96,2026-04-10,24846972,49829181.57045763,50333151.967212334,503970.39675470337
96,2026-04-10,24847059,40945564.154644236,41705544.38769483,759980.2330505926
96,2026-04-10,24847109,39351133.58329775,41960368.91207979,2609235.3287820364
96,2026-04-10,24847293,25143076.458030626,26000376.429452397,857299.9714217705
96,2026-04-10,24847562,38120392.76743628,40176176.19680831,2055783.4293720264
96,2026-04-10,24847629,39804865.01366926,40930101.765178986,1125236.751509727
96,2026-04-10,24847649,46052171.735815614,46861081.90601289,808910.1701972742
96,2026-04-10,24847678,39867102.50469941,40610615.62523419,743513.1205347746
96,2026-04-10,24847759,37090368.09436389,38848920.20049471,1758552.1061308142
96,2026-04-10,24847779,46948513.45359781,49880267.28523969,2931753.8316418873
96,2026-04-10,24848086,14894779.084642252,15008406.708293753,113627.62365150059
96,2026-04-10,24848222,50092219.89047434,52584374.78284472,2492154.892370379
96,2026-04-10,24848372,23582439.703182746,24628937.37115451,1046497.6679717606
96,2026-04-10,24848555,74281274.28094378,79401110.4335802,5119836.152636425
96,2026-04-10,24848674,30873672.745747652,32923936.5927728,2050263.8470251472
96,2026-04-10,24848937,23445912.88076263,24188825.999277882,742913.1185152511
96,2026-04-10,24849039,50642866.835464865,53316285.460069895,2673418.624605024
96,2026-04-10,24849113,30188244.381180894,31919991.486039113,1731747.1048582187
96,2026-04-10,24849271,37634442.418344334,39504692.415856056,1870249.9975117226
96,2026-04-10,24849451,15249815.557451067,16414569.355651986,1164753.79820092
96,2026-04-10,24849611,8443900.871006148,9470765.240189262,1026864.3691831137
96,2026-04-10,24849664,80002406.75206093,83913031.4789788,3910624.726917868
96,2026-04-10,24849691,29623545.84145316,30260945.83175534,637399.9903021815
96,2026-04-10,24849948,29913941.68037949,30963315.297948066,1049373.6175685772
96,2026-04-10,24849985,46203990.700404935,48501499.80083135,2297509.100426417
96,2026-04-10,24850019,25068933.96407126,25647935.88591023,579001.9218389741
96,2026-04-10,24850096,79035443.04940578,81355131.54781596,2319688.498410184
96,2026-04-10,24850107,32062941.380682178,33464518.258426975,1401576.877744795
96,2026-04-10,24850808,37157675.85971949,40003485.92945811,2845810.0697386134
96,2026-04-10,24850995,50070818.23892719,53538655.59888538,3467837.359958187
96,2026-04-10,24851306,29976569.07632434,30829413.890865266,852844.8145409271
