propagation_time_s,benchmark,shared_limit,shared_target,floor_rate,cpsb,replication,included_execution,included_data,included_state,included_execution_metered,included_data_metered,included_state_metered,included_regular_metered,shared_gas_used,shared_target_utilisation,shared_fee_wei,shared_fee_log_return_sd,shared_limit_hit_fraction,shared_near_limit_fraction,shared_fee_floor_bounded_fraction,shared_target_deviation,shared_rationed_gas,regular_binding_fraction,runtime_bal_bytes,estimated_static_payload_bytes,estimated_counted_payload_bytes,included_state_bytes,annualized_state_growth_gib,base_fee_burn_eth_per_block,base_fee_exposure_proxy_eth_per_block,equilibrium_log_rmse
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,7,30694930.5293584,2181175.992482706,7036761.323879089,44444904.82612872,4714615.845927964,26534760.30231481,49159520.672056675,50500654.40095224,1.0100130880190448,8979589.356503863,0.049860769608746656,0.024186507936507937,0.0301984126984127,0.0,0.31034629510980327,252389.58083273063,0.9125793650793651,154869.39456555186,246370.72171543707,401240.1162809889,26014.470884622362,63.67082659601007,0.00044898417381230595,0.0006592636157581888,0.755340184880795
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,8,31433025.90881233,1652929.3171247053,6754901.581156713,45513634.36311386,3572809.703376934,25471901.926455103,49086444.06649096,50518519.47932842,1.0103703895865683,21245686.866044126,0.05058540943770373,0.02859126984126984,0.03400793650793651,0.0,0.31489886395192507,539202.902282115,0.9231746031746032,158223.06767235583,186703.5902687926,344926.65794114844,24972.45286907363,61.120471116086,0.0010622944254359513,0.0015583422893125248,1.136099729943899
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,9,31109559.33634621,1784760.9661965112,5990582.289186928,45045269.040900834,3857764.050871557,22589748.010273524,48903033.09177196,50538897.66013944,1.0107779532027887,47838946.44882515,0.05142703584433271,0.03214285714285714,0.03773809523809524,0.0,0.3213430861932214,547840.0329001457,0.9328174603174603,154224.47274535414,201594.39167074073,355818.86441609485,22146.811774777965,54.20467010151268,0.002391979565767369,0.003201820068500918,1.5736433591870584
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,10,30126070.966192465,2148269.9773711185,7630564.938544021,43621221.28267987,4643489.434851495,28773920.600150935,48264710.717531495,50518475.027399,1.01036950054798,8468395.19692053,0.051228314869715096,0.03125,0.03636904761904762,0.0,0.31978970287377245,569058.5388619106,0.8790873015873016,153872.83069972848,242653.88331277657,396526.714012505,28209.726078579348,69.0437482059994,0.0004233498817330861,0.0006440716724532802,0.7737181224122597
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,11,31463142.965628717,1567587.218021136,7362211.372928825,45557242.53230493,3388342.6020769253,27761992.354737036,48945585.13438238,50498157.11373955,1.009963142274791,10898485.535670552,0.0491802642356466,0.022103174603174604,0.027420634920634922,0.0,0.3038195063387808,334924.93514919525,0.9010714285714285,159828.88895659664,177063.93046081706,336892.8194174137,27217.63956346768,66.61560085862229,0.0005449604404919635,0.000823957723140803,0.8541578566446999
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,12,31366313.446073808,1555055.3976018971,7562671.557600823,45417037.6611191,3361255.0496141054,28517903.022387438,48778292.7107325,50524148.045365036,1.0104829609073007,8006499.787059441,0.05142358551522612,0.031051587301587302,0.037281746031746034,0.0,0.3214329895583369,466158.5254905681,0.8902579365079365,158933.82050764564,175648.4217390372,334582.2422466829,27958.72845332102,68.42942757096853,0.00040030589195013636,0.0006084457820302765,0.7080070050944915
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,13,30075700.266420543,1760336.709037664,7898800.72884881,43548286.732290216,3804970.974923904,29785404.729375552,47353257.70721425,50535680.95794259,1.0107136191588517,14118387.2522851,0.05197918535752399,0.026785714285714284,0.031924603174603175,0.0,0.32720788886070706,532748.9216310999,0.8507738095238095,153841.10008470592,198835.5946344964,352676.69471920235,29201.377185662306,71.47082988537899,0.0007058892876178026,0.0010599433636190997,0.9755490288558568
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,14,30658077.84152181,1643113.6031847736,7534379.636360711,44391543.76046617,3551593.019973178,28411217.67183377,47943136.7804388,50545305.486611165,1.0109061097322234,13051472.870164566,0.052527265839033235,0.03567460317460317,0.041607142857142856,0.0,0.3295353965526531,934741.0935166465,0.8660714285714286,155630.55266877377,185594.8743578034,341225.4270265772,27854.134972386048,68.17343338153374,0.0006525379935078285,0.0009496115567599895,0.93646548155647
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,15,30721577.888159562,1668892.705238657,7180189.954605633,44483489.02571345,3607314.595607657,27075612.00406358,48090803.62132051,50615310.81034228,1.0123062162068457,19057113.787771247,0.05460436291460132,0.03976190476190476,0.04666666666666667,0.0,0.34603264302262937,877132.3315292825,0.8725992063492064,155003.18330892528,188506.70540677896,343509.8887157042,26544.717651042727,64.96861389553202,0.0009529313637624149,0.0013495785803608565,1.2056472243456906
4.5,state_matched_64,100000000.0,50000000.0,64,1020.0,16,29775923.016612504,1702981.2110278825,8979364.520723123,43114222.50386588,3680996.96241881,33860077.7059108,46795219.466285355,50527290.303019136,1.0105458060603827,8804485.379936328,0.051472841007928885,0.031369047619047616,0.03603174603174603,0.0,0.3207176807820194,904451.8933455335,0.8034523809523809,156412.9632794608,192357.10986860914,348770.0731480699,33196.15461363804,81.24811046257688,0.0004402015022590637,0.000695476746904811,0.889557723817281
