propagation_time_s,safe_payload_bytes,execution_capacity_gas,transfer_capacity_gas,maximum_candidate_limit,physical_binding_constraint,benchmark,benchmark_label,optimize_floor,match_state_growth,shared_limit,shared_target,minimum_sufficient_floor_rate,floor_rate,cpsb,m_data,m_state,floor_payload_feasible
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,450000000.0,225000000.0,81,81,1530.0,3.0271211899142436,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,475000000.0,237500000.0,85,85,1530.0,3.274452060763763,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,500000000.0,250000000.0,89,89,1530.0,3.536166747247089,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,525000000.0,262500000.0,94,94,1530.0,3.885833754446056,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,floor_optimized_only,"Floor-optimized only: derived F, CPSB=1530",True,False,533959303.1674208,266979651.5837104,96,96,1530.0,4.032547620151323,5.656315259465248,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,50000000.0,25000000.0,40,40,510.0,1.5887467517058966,1.8854384198217493,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,75000000.0,37500000.0,40,40,765.0,1.5887467517058966,2.828157629732624,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,100000000.0,50000000.0,40,40,1020.0,1.5887467517058966,3.7708768396434986,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,125000000.0,62500000.0,40,40,1275.0,1.5887467517058966,4.713596049554373,True
3.0,5619286.0,600000000.0,533959303.1674208,533959303.1674208,transfer payload,fully_optimized,"Floor- and state-growth-adjusted: derived F, matched CPSB",True,True,150000000.0,75000000.0,40,40,1530.0,1.5887467517058966,5.656315259465248,True
