floor_rate,floor_class,transactions,transaction_share,runtime_bal_bytes,runtime_bal_byte_share,incremental_bal_floor_gas,incremental_bal_floor_gas_share
75,newly floor-bound primarily because of deployed code,475,0.0002500331622931041,5606302.0,0.007790147986510641,266352560.9248668,0.09337295004407184
75,newly floor-bound through other non-code BAL,25797,0.013579169447737278,23524462.0,0.032688042899409644,405559065.33016896,0.14217338934344345
75,unaffected,1834740,0.9657807246013682,660522103.0,0.9178180074372063,0.0,0.0
76,already floor-bound under static EIP-8131,30588,0.01610108288046625,20995715.0,0.02917426263026881,1694419316.0,0.5632134555055723
76,within 10% of static floor,8853,0.004660091759538633,9453127.0,0.01313544262604465,586350705.232231,0.19489898616805787
76,newly floor-bound primarily because of deployed code,480,0.0002526650903172421,5607223.0,0.007791427747446741,272123881.50544685,0.09045212727513054
76,newly floor-bound through other non-code BAL,27667,0.014563510528764867,25520104.0,0.03546105557480531,455591245.1872647,0.15143543105123913
76,unaffected,1832160,0.964422649740913,658089492.0,0.9144378114214344,0.0,0.0
77,already floor-bound under static EIP-8131,31402,0.01652956076279591,22181166.0,0.03082148725726126,1814862357.0,0.573351087796058
77,within 10% of static floor,8770,0.004616401754337944,8694288.0,0.01208100993441731,563253985.493569,0.17794312832739131
77,newly floor-bound primarily because of deployed code,481,0.00025319147592206965,5607403.0,0.007791677863590604,277908344.04744935,0.08779676913382926
77,newly floor-bound through other non-code BAL,29334,0.015440995332012456,27200354.0,0.03779582030106061,509334890.9148626,0.16090901474272135
77,unaffected,1829761,0.9631598506749316,655982450.0,0.9115100046436703,0.0,0.0
78,already floor-bound under static EIP-8131,32181,0.0169396151489566,23509336.0,0.032667024806120354,1949432316.0,0.5869252406530734
78,within 10% of static floor,8654,0.004555341024177944,7813190.0,0.010856694189275762,521628209.29352,0.15704918799090584
78,newly floor-bound primarily because of deployed code,505,0.0002658247304379318,5629543.0,0.007822442149285763,283731872.5473753,0.08542455986238787
78,newly floor-bound through other non-code BAL,31150,0.016396911590379357,28790662.0,0.04000560754836405,566639670.4594239,0.170601011493633
78,unaffected,1827258,0.9618423075060482,653922930.0,0.908648231306954,0.0,0.0
79,already floor-bound under static EIP-8131,32985,0.01736282917523798,24902888.0,0.034603412875635314,2090740451.0,0.6013066962755836
79,within 10% of static floor,8488,0.004467961013776564,6804498.0,0.00945508222602273,466700374.26208085,0.13422520239845412
79,newly floor-bound primarily because of deployed code,512,0.0002695094296717249,5631731.0,0.007825482449967834,289564000.8513344,0.08327995597395947
79,newly floor-bound through other non-code BAL,33151,0.01745020918563936,30867305.0,0.042891173878032235,629990297.9219192,0.18118814535200284
79,unaffected,1824612,0.9604494911956744,651459239.0,0.9052248485703419,0.0,0.0
80,already floor-bound under static EIP-8131,33837,0.017811309710551084,26303263.0,0.03654928173653682,2234209040.0,0.6151564635784541
80,within 10% of static floor,8389,0.004415848838898633,5956163.0,0.008276291787666663,411229991.9068961,0.11322610508229013
80,newly floor-bound primarily because of deployed code,530,0.00027898437055862146,5649784.0,0.007850567709663168,295397216.77297515,0.08133326110836138
80,newly floor-bound through other non-code BAL,35221,0.018539827387632466,32795454.0,0.045570402726218165,691099969.6332417,0.1902841702308939
80,unaffected,1821771,0.9589540296923592,648960997.0,0.9017534560399152,0.0,0.0
81,already floor-bound under static EIP-8131,34778,0.018306638564693844,27693699.0,0.03848134001769469,2380285116.0,0.6285447393607264
81,within 10% of static floor,8116,0.004272145568780701,4989245.0,0.006932726223267724,343630334.672376,0.09073998643744313
81,newly floor-bound primarily because of deployed code,553,0.00029109123946965596,5668672.0,0.007876813230359202,301123668.12482953,0.07951555728539322
81,newly floor-bound through other non-code BAL,37557,0.01976946416050971,35442336.0,0.04924833561011049,761938906.6985061,0.2011997169164374
81,unaffected,1818744,0.9573606604665461,645871709.0,0.897460784918568,0.0,0.0
82,already floor-bound under static EIP-8131,35576,0.01872669427734626,28843244.0,0.04007867203212298,2508233138.0,0.6359563737242045
82,within 10% of static floor,8121,0.004274777496804839,4287436.0,0.005957538663221003,291591672.6148289,0.07393235497724375
82,newly floor-bound primarily because of deployed code,584,0.0003074091932193112,5650911.0,0.007852133714630578,305798855.1446456,0.07753455133834616
82,newly floor-bound through other non-code BAL,40406,0.021269136748663507,37858411.0,0.05260555428946609,838409669.910413,0.21257671996020555
82,unaffected,1815061,0.9554219822839661,643025659.0,0.8935061013005593,0.0,0.0
83,already floor-bound under static EIP-8131,36167,0.019037788169799362,29463595.0,0.040940670920798596,2593019600.0,0.631843009440032
83,within 10% of static floor,8396,0.004419533538132426,4210573.0,0.005850734901189068,285783642.0468432,0.06963711205253145
83,newly floor-bound primarily because of deployed code,620,0.00032635907499310436,5673781.0,0.007883912360242516,311605700.7120403,0.07592919224234382
83,newly floor-bound through other non-code BAL,42585,0.02241613098158282,39707011.0,0.05517424708694,913489590.9893181,0.22259068626509215
83,unaffected,1811980,0.9538001882354923,640610701.0,0.8901504347308298,0.0,0.0
84,already floor-bound under static EIP-8131,36787,0.019364147244792466,29926152.0,0.04158340966055903,2665124784.0,0.6244484605678928
84,within 10% of static floor,8551,0.004501123306880702,4198072.0,0.005833364334997776,286704264.52650064,0.06717585521572458
84,newly floor-bound primarily because of deployed code,642,0.0003379395582993113,5684882.0,0.007899337578648205,316844648.20323735,0.07423785707802233
84,newly floor-bound through other non-code BAL,44497,0.023422580258013168,41430007.0,0.057568408839226246,999292280.1200655,0.23413782713836126
84,unaffected,1809271,0.9523742096320144,638426548.0,0.8871154795865688,0.0,0.0
85,already floor-bound under static EIP-8131,37304,0.01963628860248833,30272086.0,0.04206409676117644,2727644050.0,0.6148370444667989
85,within 10% of static floor,8846,0.0046564070603048405,4333295.0,0.006021261309006655,299770380.4298778,0.06757110947896372
85,newly floor-bound primarily because of deployed code,645,0.00033951871511379405,5693001.0,0.007910619206270562,322649046.4263513,0.07272817950890946
