mechanism,workload,propagation_time_s,execution_time_s,floor_rate,m_data,safe_common_limit,shared_target,state_demand_cap_multiple,state_demand_cap_label,n_replications,burn_in_blocks,measured_blocks,equilibrium_fee_wei,equilibrium_binding_branch,equilibrium_state_demand_cap_active,equilibrium_execution_gas,equilibrium_data_gas,equilibrium_regular_gas,equilibrium_state_gas,equilibrium_state_activity_multiple,included_execution_metered,included_execution_metered_p05,included_execution_metered_p95,included_data_metered,included_data_metered_p05,included_data_metered_p95,included_state_metered,included_state_metered_p05,included_state_metered_p95,shared_gas_used,shared_gas_used_p05,shared_gas_used_p95,shared_target_utilisation,shared_target_utilisation_p05,shared_target_utilisation_p95,shared_fee_wei,shared_fee_wei_p05,shared_fee_wei_p95,shared_fee_log_return_sd,shared_fee_log_return_sd_p05,shared_fee_log_return_sd_p95,shared_limit_hit_fraction,shared_limit_hit_fraction_p05,shared_limit_hit_fraction_p95,shared_fee_floor_bounded_fraction,shared_fee_floor_bounded_fraction_p05,shared_fee_floor_bounded_fraction_p95,shared_target_deviation,shared_target_deviation_p05,shared_target_deviation_p95,regular_binding_fraction,regular_binding_fraction_p05,regular_binding_fraction_p95,state_demand_cap_active_fraction,state_demand_cap_active_fraction_p05,state_demand_cap_active_fraction_p95
shared_fee_8131_8279,full_multiscale_60d,4.0,5.0,64,2.161501805529043,500000000.0,250000000.0,3.0,3x,32,7200,50400,56.37358724831746,regular,True,191023733.55684364,58976266.443163216,250000000.00000685,88987776.82227,3.0000000000000004,184653499.29053032,178288809.14302164,189678004.93359345,53162519.32106025,48580959.146073304,60695612.41301,88423693.03395417,78302214.64944424,99249554.13158812,242714092.9854595,236497551.79711497,247548936.62934572,0.970856371941838,0.9459902071884598,0.9901957465173828,13038.099751682543,75.74224399438337,45206.44632324831,0.046180905696475975,0.043050343855358136,0.0489826817083259,0.020649801587301588,0.014398809523809524,0.02657936507936508,0.0,0.0,0.0,0.323523357696387,0.3083902072270789,0.34267994934830415,0.9557068452380952,0.9286914682539682,0.9769295634920635,0.9968892609126985,0.9865267857142858,1.0
shared_fee_8131_8279,full_multiscale_60d,4.0,5.0,64,2.161501805529043,500000000.0,250000000.0,4.0,4x,32,7200,50400,56.37358724831746,regular,True,191023733.55684364,58976266.443163216,250000000.00000685,118650369.09636,4.0,181068972.74068445,174513133.97619727,186997085.10228592,51559040.496507406,47310806.93899289,59404061.71363208,116260747.69795449,103425881.55520065,128674044.25258139,243586596.27247947,238103029.9865169,247976021.95609367,0.9743463850899179,0.9524121199460676,0.9919040878243747,17252.001317900314,108.84519736734585,56700.8676536055,0.04754236387125727,0.04391566358291572,0.05124240294395879,0.0246875,0.01865277777777778,0.03228869047619048,0.0,0.0,0.0,0.33122097202422285,0.31346050772013057,0.3531036875906625,0.9057198660714286,0.8518769841269841,0.9420684523809524,0.9922637648809525,0.9768174603174603,1.0
shared_fee_8131_8279,full_multiscale_60d,4.0,5.0,64,2.161501805529043,500000000.0,250000000.0,5.0,5x,32,7200,50400,56.37358724831746,regular,True,191023733.55684364,58976266.443163216,250000000.00000685,148312961.37045,5.0,175245803.21257228,167118713.78036284,183289143.53310642,49019562.365220815,44390941.5067437,56943217.02958371,142495033.55867416,127775682.96753901,155674720.223808,244692155.5509777,240356131.7726971,248471748.4137356,0.9787686222039109,0.9614245270907883,0.9938869936549424,22184.517869238654,320.01146522464654,65254.83370127391,0.04950078173855395,0.04557124367199226,0.05341040670711294,0.03148313492063492,0.02233531746031746,0.040813492063492066,0.0,0.0,0.0,0.34222334095896345,0.3197514596212947,0.36415764123939326,0.8317032490079366,0.7682956349206349,0.8899305555555556,0.9788330853174603,0.9418511904761905,0.9997232142857143
shared_fee_8131_8279,full_multiscale_60d,4.0,5.0,64,2.161501805529043,500000000.0,250000000.0,inf,unrestricted,32,7200,50400,32513.150702776144,state,False,88423272.13360794,13711906.784337273,102135178.9179452,250000000.00000274,8.428123802867203,92585391.40524773,84690460.94546382,99970373.4342596,15121745.14202009,12842643.60670675,18407999.460249692,252204421.99293405,251442734.90819958,252891493.3707756,253762090.88906035,253493969.63471836,254065432.37979525,1.0150483635562413,1.0139758785388733,1.0162617295191811,58740.027521369426,25630.093408147724,111256.90796758045,0.06130308609811684,0.059210834024498,0.06356133728950689,0.08268663194444444,0.07537103174603174,0.09241765873015872,0.0,0.0,0.0,0.40038797950657545,0.3836659764299102,0.41997199723645806,0.0372984871031746,0.025763888888888888,0.053080357142857144,0.0,0.0,0.0
shared_fee_8131_8279,full_multiscale_60d,4.5,4.5,64,2.161501805529043,450000000.0,225000000.0,2.0,2x,32,7200,50400,116.02992310332549,regular,True,175026720.60979447,49973279.39020387,224999999.99999833,59325184.54818,2.0,173649640.75945848,167957600.84109318,177757884.07053703,47217941.41193245,43169443.40580073,53561833.101448625,59429730.31224789,52434650.902902715,67352439.08487856,222800277.85861838,219065642.30215085,225339715.81270128,0.990223457149415,0.9736250768984482,1.0015098480564502,11040.363364925115,116.67653421454199,43633.94496773729,0.04759647848421685,0.044777668004561066,0.05008093956089139,0.022444196428571428,0.016557539682539684,0.028189484126984125,0.0,0.0,0.0,0.32168036207352474,0.30454824471999664,0.33884198591191633,0.9802740575396826,0.9638720238095237,0.9912132936507937,0.9989856150793651,0.9951855158730158,1.0
shared_fee_8131_8279,full_multiscale_60d,4.5,4.5,64,2.161501805529043,450000000.0,225000000.0,3.0,3x,32,7200,50400,116.02992310332549,regular,True,175026720.60979447,49973279.39020387,224999999.99999833,88987776.82227,3.0000000000000004,171266374.62697992,166227090.75225773,176345425.7180958,46190597.14462212,42393335.92688638,52832767.26558989,88032528.38176152,78059901.82506645,98282535.70575148,223162719.46738297,219714797.64765546,225574335.8394533,0.9918343087439242,0.9765102117673575,1.0025526037309036,20240.766751570256,155.93343401623412,71223.04383269153,0.04842615911600755,0.04557276171655543,0.05148263932612,0.02467323908730159,0.018675595238095238,0.03158234126984127,0.0,0.0,0.0,0.32646779383741076,0.31019158352886983,0.34627264268441005,0.9438938492063492,0.9088085317460317,0.9691160714285715,0.995662822420635,0.9841547619047619,1.0
shared_fee_8131_8279,full_multiscale_60d,4.5,4.5,64,2.161501805529043,450000000.0,225000000.0,4.0,4x,32,7200,50400,116.02992310332549,regular,True,175026720.60979447,49973279.39020387,224999999.99999833,118650369.09636,4.0,166591847.20972708,160476353.65830806,173506553.35175592,44242112.17389594,40308582.06670701,51137524.21183139,115296317.52692136,102891095.59348363,126873690.9885801,223707712.74485725,220815609.73261666,225757242.32556906,0.9942565010882545,0.9814027099227407,1.0033655214469737,27379.612072129123,269.62666318296783,83209.27609671265,0.05005344612058764,0.04665355210895834,0.053784781001168465,0.02976438492063492,0.022593253968253967,0.03759523809523809,0.0,0.0,0.0,0.3363798838765266,0.31735573408859763,0.3587200010988133,0.8806305803571428,0.8210436507936508,0.9262599206349206,0.9868470982142856,0.9628353174603175,1.0
shared_fee_8131_8279,full_multiscale_60d,4.5,4.5,64,2.161501805529043,450000000.0,225000000.0,5.0,5x,32,7200,50400,116.02992310332549,regular,True,175026720.60979447,49973279.39020387,224999999.99999833,148312961.37045,5.0,159356283.51329917,150812844.79466438,167654700.25746262,41298200.777314514,37303983.34796425,48236459.06263177,140396948.41233355,126791787.06321642,152252079.39801803,224385021.14123982,222158459.60200822,226059306.39086857,0.9972667606277326,0.987370931564481,1.0047080284038603,36070.57731334141,1962.8402326260777,100832.71664040488,0.052116934570295634,0.04826244670714959,0.055452962288273004,0.03806485615079365,0.02746527777777778,0.04826587301587302,0.0,0.0,0.0,0.34878438059140293,0.32498491423192244,0.3695652437546726,0.7861929563492064,0.7121815476190476,0.8546587301587302,0.9627312748015873,0.9173769841269842,0.9958938492063492
shared_fee_8131_8279,full_multiscale_60d,4.5,4.5,64,2.161501805529043,450000000.0,225000000.0,inf,unrestricted,32,7200,50400,44535.26644046533,state,False,85115895.78368536,12756781.139560016,97872676.92324537,225000000.00000715,7.5853114225806415,89069838.6179019,81489623.77984828,96142031.3977799,14046744.14228895,11936754.928810053,17074654.73700483,226603737.11261642,225705659.73070335,227336998.5485666,228375167.37758636,228136022.6173076,228648230.2061318,1.0150007439003839,1.013937878299145,1.016214356471697,80914.76994925336,35252.963928533856,153181.89742749828,0.06118085327052285,0.059094569742564405,0.06344321515716013,0.08195808531746031,0.07475297619047619,0.09168353174603175,0.0,0.0,0.0,0.3995121137692181,0.38290062678650066,0.4190282047025519,0.04606212797619048,0.03219444444444445,0.06648611111111111,0.0,0.0,0.0
shared_fee_8131_8279,full_multiscale_60d,5.0,4.0,64,2.161501805529043,400000000.0,200000000.0,2.0,2x,32,7200,50400,262.3019251747058,regular,True,158557091.3670418,41442908.63295263,199999999.99999443,59325184.54818,2.0,158511963.81925,154038088.71898293,162476458.06787404,39802472.80128891,36390620.72211643,45190225.57539027,59254489.536068715,52356378.55569979,66972665.14902221,200600954.75676638,198983843.49609444,201546760.71793583,1.003004773783832,0.9949192174804723,1.0077338035896792,21727.13249003191,261.3502585081741,78487.56915910654,0.049432324620382495,0.0466605370860852,0.05190814226093014,0.025044642857142856,0.01940277777777778,0.03147023809523809,0.0,0.0,0.0,0.32335171628949605,0.30638743674483415,0.3407175951778478,0.974093501984127,0.9549375,0.9881329365079364,0.9980636160714286,0.9928690476190476,1.0
shared_fee_8131_8279,full_multiscale_60d,5.0,4.0,64,2.161501805529043,400000000.0,200000000.0,3.0,3x,32,7200,50400,262.3019251747058,regular,True,158557091.3670418,41442908.63295263,199999999.99999443,88987776.82227,3.0000000000000004,155340515.2257324,150909132.2774052,160833151.23397216,38543062.31768897,35249123.037657924,44312277.09520263,87496519.99790671,77737272.39620695,97144007.75270142,200816274.15557054,199388286.54165524,201634068.73204705,1.0040813707778526,0.9969414327082762,1.0081703436602352,33353.500438304196,397.8817843018501,111276.11254774571,0.05050185004979607,0.04769026969227257,0.05374438826825443,0.027969990079365077,0.02200892857142857,0.03546130952380952,0.0,0.0,0.0,0.33031360380749397,0.31307651398383446,0.35114910786542414,0.925133308531746,0.8758908730158731,0.9556944444444444,0.9932824900793651,0.9783303571428572,1.0
shared_fee_8131_8279,full_multiscale_60d,5.0,4.0,64,2.161501805529043,400000000.0,200000000.0,4.0,4x,32,7200,50400,262.3019251747058,regular,True,158557091.3670418,41442908.63295263,199999999.99999443,118650369.09636,4.0,149403534.16242972,143084867.04426813,156705706.3093488,36268916.35532981,32575193.181972124,42153846.67707595,113877884.89255029,102179241.5828521,124340753.9638447,201136875.91069162,199985968.94162202,201809233.85358056,1.005684379553458,0.9999298447081102,1.009046169267903,46493.757164496164,1149.7381761669344,134739.5296263187,0.052406194195955866,0.04927689604757579,0.05564920547582516,0.0348921130952381,0.026264880952380953,0.04339384920634921,0.0,0.0,0.0,0.3427948360435519,0.32155579212806695,0.36435775176279145,0.8407961309523809,0.7783452380952381,0.8983224206349206,0.9761923363095237,0.9377996031746032,0.999281746031746
shared_fee_8131_8279,full_multiscale_60d,5.0,4.0,64,2.161501805529043,400000000.0,200000000.0,5.0,5x,32,7200,50400,262.3019251747058,regular,True,158557091.3670418,41442908.63295263,199999999.99999443,148312961.37045,5.0,140894547.91747153,132843877.48011208,148661726.35500014,33063730.88673196,29541478.17774242,38963216.47236755,137207187.69762686,124592077.34767441,148340948.16710773,201502374.69335335,200714704.56830224,202078751.681638,1.007511873466767,1.0035735228415112,1.0103937584081901,62269.78629208569,9251.166878552376,161584.78332481213,0.05440766005331328,0.05096033754967929,0.05711697597008813,0.044372519841269845,0.03227976190476191,0.05311111111111111,0.0,0.0,0.0,0.35601521677784725,0.3327578992358801,0.37476752213012643,0.7216462053571429,0.6356140873015873,0.8024513888888889,0.9303354414682539,0.8701180555555555,0.982186507936508
shared_fee_8131_8279,full_multiscale_60d,5.0,4.0,64,2.161501805529043,400000000.0,200000000.0,inf,unrestricted,32,7200,50400,63308.22922671631,state,False,81564794.00591955,11767582.270613175,93332376.27653272,199999999.99998695,6.742499042293249,85277901.07800992,78042293.23491555,92000570.40882206,12927721.470029492,10995965.052041827,15700040.36385374,200923928.824409,199838451.76632637,201756062.4249061,202985159.5124051,202775076.1532325,203228768.56923294,1.0149257975620256,1.0138753807661627,1.0161438428461647,115952.90777771476,50430.79300353097,219305.92777169115,0.061012333778740636,0.058936400495442416,0.06327942856737612,0.08096292162698412,0.07406944444444444,0.09054662698412698,0.0,0.0,0.0,0.39844636631948993,0.38197146593966946,0.41786582889136475,0.05916790674603174,0.04111904761904762,0.08551686507936508,0.0,0.0,0.0
