data_limit_hit_ci95_halfwidth,rationed_data_ci95_halfwidth,execution_fill_ci95_halfwidth,n_replications,design,calibration,frontier_position,data_limit_family,execution_target,data_target,data_limit,execution_fill,data_fill,included_execution,fee_sd_execution,fee_sd_data,data_limit_hit_fraction,longest_data_limit_run,execution_floor_bounded_fraction,rationed_data,rationed_execution,mean_data_fee_wei,pareto_nondominated
0.0012535000468520867,108714.52928727362,0.00439788916959444,32,E250_D60_matched2x,central35,above,matched2x,250000000.0,60000000.0,120000000.0,0.9847712757008354,0.9999046451500421,246192818.92520887,0.10154416572310561,0.06244379183609923,0.055910218253968254,8.46875,0.13458829365079367,2338872.9607024645,4943797.654274358,235.71938058035715,True
0.0035253644590165214,238154.76627169852,0.011401095079271204,32,E300_D60_fixed90M,central35,below,fixed90M,300000000.0,60000000.0,90000000.0,0.8856550996158388,0.9998726154300712,265696529.88475162,0.06119924188492036,0.07136679580438754,0.1912450396825397,14.4375,0.6055654761904762,7106770.3768073,19562209.6202636,148.9199361359127,True
0.001264886481750198,106147.97497313503,0.011116632847104931,32,E300_D60_matched2x,central35,below,matched2x,300000000.0,60000000.0,120000000.0,0.9036382667350658,0.999912614843252,271091480.02051973,0.0736127494760137,0.06130196712642161,0.05420448908730159,8.46875,0.563119419642857,2205780.1731629074,4696153.0396528095,246.89132192460315,True
0.004908480738191228,1224897.3214326235,0.011185484341622545,32,E300_D77_fixed90M,central35,near,fixed90M,300000000.0,77000000.0,90000000.0,0.8285962510461905,0.9917914139943204,248578875.31385714,0.03840661546777753,0.12517420837993665,0.5137121775793652,34.625,0.7104724702380952,31824400.972848587,72348928.64766593,8.78492435515873,True
0.0012901286901400952,145260.24651747156,0.00781340684489043,32,E300_D77_matched2x,central35,near,matched2x,300000000.0,77000000.0,154000000.0,0.9511048336148091,0.9989198523814468,285331450.08444273,0.10895148995113182,0.0903590167723062,0.057859002976190475,8.53125,0.38355530753968253,3139420.63924091,5667992.065388802,72.61950396825397,True
0.014979308505262917,3464837.042628604,0.011053393453245722,32,E300_D85_fixed90M,central35,above,fixed90M,300000000.0,85000000.0,90000000.0,0.7262198146329414,0.9548707886660457,217865944.38988242,0.009545670967311378,0.0643163697990474,0.6921688988095238,69.34375,0.8738101438492064,58542081.67728108,112520665.06552939,1.5859647817460316,True
0.0013139662078943614,164685.44332429123,0.006828875372087027,32,E300_D85_matched2x,central35,above,matched2x,300000000.0,85000000.0,170000000.0,0.9597418897710395,0.9968391390874626,287922566.93131185,0.11774900083395526,0.10650912091781145,0.05889942956349206,8.625,0.3384356398809524,3571936.4538971703,5924330.94636526,44.84657056051587,True
0.00036774450912885765,31794.042696074754,0.008727144960227208,32,E200_D30_fixed90M,adverse75,below,fixed90M,200000000.0,30000000.0,90000000.0,0.619158598332754,0.9999192368617761,123831719.6665508,0.0022072920036113573,0.04188285863107542,0.008625992063492065,4.03125,0.907952628968254,307058.2379322606,258453.51001287348,2058.1870157490084,True
0.0012894129736986018,54666.6946769883,0.008714134670565385,32,E200_D30_matched2x,adverse75,below,matched2x,200000000.0,30000000.0,60000000.0,0.6173179959881693,0.9999476201985146,123463599.19763386,0.0021281182047207443,0.05595812114478709,0.05560701884920635,8.65625,0.9125669642857144,1137014.8109289533,1930611.2456761517,1974.3184852430554,True
0.000593283296078318,45787.971060750584,0.009285306352615916,32,E200_D35_fixed90M,adverse75,near,fixed90M,200000000.0,35000000.0,90000000.0,0.6557223885494241,0.9999047133111554,131144477.70988482,0.0030477899747409585,0.05062388144717436,0.018340153769841272,5.46875,0.8851543898809524,601247.815150721,617141.2030802937,877.2450539434524,True
