data_limit,execution_target,data_target,target_ratio,included_execution,execution_fill,data_limit_hit_fraction,data_limit_hit_ci95,longest_data_limit_run,rationed_data,execution_floor_fraction,data_fee_sd,execution_used,execution_utilisation,execution_limit_hit_fraction,execution_rationed,execution_fee_wei,execution_fee_sd,execution_price_sd,execution_price_p95,execution_price_p99,data_used,data_utilisation,data_rationed,data_floor_fraction,data_fee_wei,data_price_sd,data_price_p95,data_price_p99,state_used,state_utilisation,state_limit_hit_fraction,state_rationed,state_floor_fraction,state_fee_wei,state_fee_sd,state_price_sd,state_price_p95,state_price_p99
90000000.0,200000000.0,52470000.0,0.583,200001761.9230628,1.000008809615314,0.08030443948412698,0.0011785454598135829,7.1875,1539430.1791947032,0.0,0.05602635695470849,200001761.9230628,1.000008809615314,0.02160094246031746,620146.4895736193,91.63867993551588,0.04785612533177649,0.047357720824265204,0.1040625,0.12,52471106.410129175,1.0000210865280956,1539430.1791947032,0.0,204.39175223214284,0.056026356954708464,0.11,0.1296875,75001185.96035194,1.0000158128046925,0.0,0.0,0.0,5971208.38202691,0.18444356886449997,0.18444348101448862,0.33999999999999997,0.7065625
90000000.0,200000000.0,60030000.0,0.667,200001691.12923124,1.0000084556461561,0.16527281746031747,0.001912565511277019,13.15625,3992332.023422577,0.0,0.060066662632118684,200001691.12923124,1.0000084556461561,0.02152219742063492,612915.7300939548,97.1411005704365,0.04739724443707882,0.04726234862342645,0.10468750000000002,0.12,60031124.454952404,1.0000187315500983,3992332.023422577,0.0,85.01773623511906,0.06006666263211867,0.1171875,0.14937499999999998,75001185.95938082,1.0000158127917442,0.0,0.0,0.0,5971209.430598338,0.18444357033494102,0.18444353460064716,0.33999999999999997,0.7065625
90000000.0,200000000.0,67500000.0,0.75,200001634.0955917,1.0000081704779584,0.2900390625,0.0023106426762393405,15.375,8992994.680402339,0.0,0.06572231949489422,200001634.0955917,1.0000081704779584,0.02140997023809524,608959.990439855,99.51411954365079,0.04736579437773722,0.04727372763725872,0.10468750000000002,0.12,67501259.03130805,1.0000186523156749,8992994.680402339,6.200396825396825e-07,34.65839967757937,0.06572231949489422,0.13843750000000002,0.1846875,75001185.95910627,1.0000158127880836,0.0,0.0,0.0,5971209.875771949,0.18444357259257108,0.18444355810180235,0.33999999999999997,0.7065625
90000000.0,200000000.0,76950000.0,0.855,200001645.7442248,1.0000082287211238,0.5343675595238095,0.0024710964165478326,25.25,24516030.865657162,0.0,0.10712927693332566,200001645.7442248,1.0000082287211238,0.02140811011904762,606651.5035186914,100.75686507936507,0.04737363251381075,0.047326796265355645,0.1053125,0.121875,76946474.18155256,0.9999541803970443,24516030.865657162,0.020670262896825397,8.784907614087302,0.10712927693332566,0.2375,0.4296875,75001185.95894578,1.0000158127859438,0.0,0.0,0.0,5971210.09983507,0.18444357131651293,0.18444356756955005,0.33999999999999997,0.7065625
90000000.0,225000000.0,22500000.0,0.25,154262576.57411253,0.6856114514405002,0.00018973214285714286,4.5565728973207666e-05,1.28125,9323.723495940947,1.0,0.02530722118523313,154262576.57411253,0.6856114514405002,6.200396825396825e-07,0.4154779317240704,1.0,0.0,0.025268055427582807,0.055312499999999994,0.0778125,22501171.993993014,1.0000520886219118,9323.723495940947,0.0,20291.350876736113,0.02530722118523313,0.055937499999999994,0.07812500000000001,75001186.08379051,1.0000158144505402,0.0,0.0,0.0,5971029.476204118,0.18444334919725525,0.18443297412984005,0.33999999999999997,0.7065625
90000000.0,225000000.0,29970000.0,0.333,184683107.76462227,0.8208138122872101,0.0009095982142857144,7.33411052749854e-05,1.78125,26177.32536618081,0.9970963541666666,0.03401717862906829,184683107.76462227,0.8208138122872101,0.0011328125000000001,18029.007924347028,1.003048115079365,0.013062935031815066,0.03378567404811646,0.07,0.1015625,29971164.145355217,1.0000388436888628,26177.32536618081,0.0,4696.060345362103,0.03401717862906829,0.07,0.1015625,75001185.98827988,1.0000158131770651,0.0,0.0,0.0,5971168.533508805,0.1844435280153265,0.18444122711568142,0.33999999999999997,0.7065625
90000000.0,225000000.0,36000000.0,0.4,206392541.3365266,0.917300183717896,0.004272693452380953,0.0002454623361610767,2.375,74992.87073339976,0.914679439484127,0.04086205289930261,206392541.3365266,0.917300183717896,0.009873511904761906,252082.92188084917,1.1966034226190474,0.06063054364019897,0.0404017609269689,0.08875,0.1234375,36001191.1428822,1.0000330873022834,74992.87073339976,0.0,1864.1238839285713,0.04086205289930261,0.09,0.12375,75001185.97066921,1.000015812942256,0.0,0.0,0.0,5971193.697320189,0.1844435560782755,0.1844426727679888,0.33999999999999997,0.7065625
90000000.0,225000000.0,45000000.0,0.5,223341430.8135536,0.9926285813935716,0.028872147817460315,0.0006375170502096255,4.28125,441324.44220788183,0.13403769841269841,0.049978181152948845,223341430.8135536,0.9926285813935716,0.02153955853174603,721816.490382575,16.088676835317457,0.07660936008684055,0.04951594770777423,0.1090625,0.1296875,45001268.92878722,1.0000281984174937,441324.44220788183,0.0,565.3888634672619,0.049978181152948845,0.11,0.12,75001185.9627469,1.0000158128366254,0.0,0.0,0.0,5971205.198134921,0.18444356462252964,0.18444331033626565,0.33999999999999997,0.7065625
90000000.0,225000000.0,52470000.0,0.583,224773849.69945782,0.9989948875531459,0.07861297123015873,0.0011301535960316167,7.0,1470011.5434846738,0.02291666666666667,0.05563578411695795,224773849.69945782,0.9989948875531459,0.0215953621031746,717289.7018169239,28.36503658234127,0.05926693013927731,0.051213133818859745,0.11,0.13312500000000002,52471101.531668365,1.0000209935519033,1470011.5434846738,0.0,226.80571738591271,0.05563578411695792,0.11,0.12906250000000002,75001185.9604786,1.0000158128063814,0.0,0.0,0.0,5971208.181733631,0.18444356857006372,0.18444347047806378,0.33999999999999997,0.7065625
90000000.0,225000000.0,60030000.0,0.667,225001749.92818987,1.0000077774586216,0.16336061507936506,0.0019134291938151572,13.15625,3872466.768277671,0.0007204861111111111,0.05956050119875425,225001749.92818987,1.0000077774586216,0.021727430555555555,703047.2894366857,33.96413256448413,0.05405275990134267,0.05121532393411228,0.11,0.13593750000000002,60031109.340925045,1.0000184797755296,3872466.768277671,0.0,93.48306609623015,0.05956050119875424,0.1121875,0.1459375,75001185.95958245,1.0000158127944327,0.0,0.0,0.0,5971209.354298115,0.18444357059449987,0.1844435311747744,0.33999999999999997,0.7065625
90000000.0,225000000.0,67500000.0,0.75,225001718.8450981,1.0000076393115471,0.2877622767857143,0.0023132178913080567,15.34375,8805126.824262321,0.0,0.06483462281500149,225001718.8450981,1.0000076393115471,0.021555059523809525,690302.1215380827,36.505888516865085,0.05159683099969747,0.050845893811438836,0.11,0.13593750000000002,67501236.50292784,1.0000183185618938,8805126.824262321,0.0,37.69548239087302,0.06483462281500149,0.13625,0.1809375,75001185.95920077,1.0000158127893437,0.0,0.0,0.0,5971209.84812624,0.1844435720366114,0.1844435562578689,0.33999999999999997,0.7065625
90000000.0,225000000.0,76950000.0,0.855,225001750.88677126,1.0000077817189834,0.5327300347222222,0.0024026074186682487,25.0625,24162108.52716013,0.0,0.10062652137064572,225001750.88677126,1.0000077817189834,0.021460813492063493,683172.3640269181,37.842640749007934,0.05095424741281137,0.05071688692728697,0.11,0.13718750000000002,76947820.64901866,0.9999716783498201,24162108.52716013,0.015511532738095237,9.421222098214285,0.10062652137064572,0.229375,0.4040625,75001185.95893858,1.0000158127858478,0.0,0.0,0.0,5971210.09359127,0.18444357151113697,0.18444356748271173,0.33999999999999997,0.7065625
90000000.0,250000000.0,22500000.0,0.25,154262576.999833,0.6170503079993319,0.00018973214285714286,4.5565728973207666e-05,1.28125,9323.724302166966,1.0,0.025307212911190403,154262576.999833,0.6170503079993319,0.0,0.0,1.0,0.0,0.025268047201209808,0.055312499999999994,0.0778125,22501171.993395474,1.0000520885953543,9323.724302166966,0.0,20291.350843253967,0.025307212911190403,0.055937499999999994,0.07812500000000001,75001186.08374363,1.0000158144499152,0.0,0.0,0.0,5971029.476147073,0.18444334918478608,0.18443297411704201,0.33999999999999997,0.7065625
90000000.0,250000000.0,29970000.0,0.333,184700980.9657784,0.7388039238631137,0.0009095982142857144,7.33411052749854e-05,1.78125,26177.24108139421,0.9997451636904762,0.034017273730994946,184700980.9657784,0.7388039238631137,4.8983134920634915e-05,586.3765000274685,1.0002548363095238,0.004829213360403001,0.03378279128755706,0.07,0.1015625,29971164.102399655,1.0000388422555775,26177.24108139421,0.0,4696.073764880953,0.03401727373099493,0.07,0.1015625,75001185.98828278,1.0000158131771038,0.0,0.0,0.0,5971168.533547867,0.18444352801906533,0.18444122711577107,0.33999999999999997,0.7065625
90000000.0,250000000.0,36000000.0,0.4,206708924.68293524,0.8268356987317409,0.004272073412698413,0.00024533080452258764,2.375,74949.84343149306,0.9969109623015873,0.040861351483964845,206708924.68293524,0.8268356987317409,0.0013727678571428571,25818.283052099807,1.0032911706349206,0.013867999848110976,0.040155177531725976,0.08625,0.1221875,36001181.24505474,1.0000328123626316,74949.84343149306,0.0,1864.845982142857,0.04086135148396483,0.09,0.12375,75001185.97074388,1.0000158129432517,0.0,0.0,0.0,5971193.690888517,0.1844435559197226,0.18444267218146507,0.33999999999999997,0.7065625
90000000.0,250000000.0,45000000.0,0.5,235590563.77028108,0.9423622550811243,0.028167162698412698,0.0006414569583732333,4.28125,424360.9238925369,0.8043086557539683,0.04979659760240072,235590563.77028108,0.9423622550811243,0.013977554563492065,448374.7795441572,1.5633736359126984,0.07959192789453894,0.048955419410337285,0.10875,0.124375,45001189.19718084,1.0000264266040186,424360.9238925369,0.0,594.5013361855158,0.04979659760240071,0.11,0.12,75001185.96268575,1.00001581283581,0.0,0.0,0.0,5971204.940891617,0.1844435659151146,0.18444329701782303,0.33999999999999997,0.7065625
90000000.0,250000000.0,52470000.0,0.583,247459206.2819849,0.9898368251279396,0.07703869047619048,0.0011082563011650703,6.65625,1410671.7359420252,0.2207514880952381,0.05532294977718514,247459206.2819849,0.9898368251279396,0.021162574404761905,778712.3947160146,6.714518849206349,0.09968134686119051,0.057715044894940976,0.1225,0.1765625,52471154.44955193,1.0000220020878965,1410671.7359420252,0.0,247.4217150297619,0.05532294977718512,0.11,0.1284375,75001185.96062995,1.0000158128083994,0.0,0.0,0.0,5971208.002468377,0.18444356914297005,0.18444346113545912,0.33999999999999997,0.7065625
90000000.0,250000000.0,60030000.0,0.667,249551381.66945046,0.9982055266778018,0.16135354662698412,0.001928416483783974,11.15625,3759583.4268416655,0.045452628968253965,0.05913584922792309,249551381.66945046,0.9982055266778018,0.021654885912698412,790201.4603397185,11.704720982142856,0.07850437659542428,0.06208913882677207,0.1303125,0.1871875,60031109.48454415,1.0000184821679852,3759583.4268416655,0.0,102.08028955853175,0.05913584922792307,0.1115625,0.1434375,75001185.95971456,1.0000158127961942,0.0,0.0,0.0,5971209.279344618,0.18444357002380551,0.1844435267407502,0.33999999999999997,0.7065625
