design,stress,start,data_limit,peak_data_fee_multiple,recovery_blocks_median,recovery_fraction,data_limit_hit_fraction,data_offered_limit_pressure_fraction,data_cap_active_fraction,data_scale_determining_fraction,longest_data_limit_run,rationed_data,execution_fill,execution_floor_bounded_fraction
E225_D45,execution,cold,90000000.0,47.68242219498014,,0.0,0.054496527777777776,0.054907407407407405,0.054496527777777776,0.054496527777777776,5.75,1697887.0867912353,0.9536999505189435,0.20520833333333333
E250_D60,execution,cold,90000000.0,57.44235147177201,,0.0,0.18960069444444447,0.19045138888888888,0.18960069444444447,0.18960069444444447,8.541666666666666,7484158.102118862,0.9538035600762396,0.22933449074074072
E300_D77,execution,cold,90000000.0,22.327546296296294,5872.5,0.3333333333333333,0.5160358796296296,0.5162962962962963,0.5160358796296296,0.5160358796296296,21.416666666666668,32169226.52297364,0.7974129495594994,0.7012499999999999
E300_D80,execution,cold,90000000.0,17.56783392434988,5721.0,0.5,0.5930844907407408,0.5933043981481482,0.5930844907407408,0.5930844907407408,27.833333333333332,41223888.00146309,0.763260345086534,0.760005787037037
E300_D85,execution,cold,90000000.0,6.358333333333333,4625.0,0.9166666666666666,0.6862615740740741,0.6863831018518519,0.6862615740740741,0.6862615740740741,43.625,57448170.46895122,0.7024513767517043,0.8443981481481483
E200_D45,static_data,warm,90000000.0,66.51007528440086,,0.0,0.05814814814814815,0.05855902777777777,0.05814814814814815,0.05814814814814815,5.916666666666667,1856989.7107362617,0.9903566598960324,0.0624363425925926
E225_D45,static_data,warm,90000000.0,59.3050642559597,,0.0,0.056255787037037035,0.05659143518518519,0.056255787037037035,0.056255787037037035,5.875,1752315.2609814946,0.9631240917681386,0.26577546296296295
E250_D60,static_data,warm,90000000.0,65.37408446109342,,0.0,0.19355324074074073,0.19417824074074075,0.19355324074074073,0.19355324074074073,9.25,7676088.450005216,0.9646978175926403,0.2842708333333333
E300_D77,static_data,warm,90000000.0,26.781481481481478,5872.5,0.3333333333333333,0.5246643518518518,0.5248842592592592,0.5246643518518518,0.5246643518518518,22.875,33031155.6676538,0.796369030641483,0.7624247685185185
E300_D80,static_data,warm,90000000.0,20.43611111111111,5721.0,0.5833333333333334,0.6032233796296297,0.6033912037037037,0.6032233796296297,0.6032233796296297,28.875,42481130.78174163,0.7605462691161616,0.8181249999999999
