design,window_days,lambda_bal,rho_A,eps_execution,eps_data,eps_state,execution_target,execution_limit,data_target,data_limit,state_target,no_bal_execution_ceiling,regime,execution_fill,execution_fill_ci95,data_fill,state_fill,included_execution,included_data,included_state,execution_floor_bounded_fraction,mean_execution_fee_wei,mean_data_fee_wei,mean_state_fee_wei,data_limit_hit_fraction,any_limit_hit_fraction,rationed_execution,rationed_data,fee_sd_execution,fee_sd_data,fee_sd_state,sensitivity,is_central,setting,setting_order,central_execution_fill,central_data_limit_hit_fraction,central_execution_floor_bounded_fraction,central_rationed_data,central_fee_sd_data,delta_execution_fill,delta_data_limit_hit_fraction,delta_execution_floor_bounded_fraction,delta_rationed_data,delta_fee_sd_data
E225_D45,75,0.0,1.0,0.0785108223582338,0.2013910565486362,0.253555905620326,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,151980206.51826182,demand_constrained,0.6229193481468314,0.009051472806090857,0.9989199960461097,0.9999504186917129,140156853.33303702,44951399.822074935,74996281.40187846,0.909384300595238,1.0002907986111111,208.52034350198414,4471285.588541667,0.060573536706349206,0.06058469742063492,2474726.0805441746,1953140.5058886246,0.0020501679888377676,0.08358692279899903,0.1497672443455541,elasticity_window,False,75 days,75.0,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,-0.3566335094875477,0.008515624999999999,0.7546552579365078,379643.2151413176,0.0288557229029116
E225_D45,35,0.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.979552857634379,0.006286345110972819,0.9999557029275647,0.9999636812711535,220399392.9677353,44998006.63174041,74997276.09533651,0.15472904265873016,23.962557663690475,967.3635825892858,3348981.274027778,0.05205791170634921,0.06998697916666666,4071224.163133328,1573497.290747307,0.08338579148934436,0.05473119989608743,0.1499072648858159,lambda,True,0,0.0,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,0.0,0.0,0.0,0.0,0.0
E225_D45,35,0.5,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9859754013874402,0.0047807375638432145,0.9999524457349482,0.9999635489386062,221844465.31217408,44997860.05807267,74997266.17039546,0.10099082341269841,28.19852430555555,885.0656653025794,3340954.6504433285,0.054506448412698416,0.07311135912698413,4351055.794270178,1688592.3927043066,0.08179238782540199,0.05540262245873791,0.1497662628341222,lambda,False,0.5,0.5,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,0.006422543753061172,0.0024485367063492094,-0.053738219246031754,115095.10195699963,0.0006714225626504797
E225_D45,35,1.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.990471537983325,0.003414202636764564,0.9999499922509044,0.999963423207529,222856096.0462481,44997749.6512907,74997256.74056467,0.06442894345238095,31.93911892361111,807.8145114087301,3332125.8763169646,0.05730096726190476,0.0763845486111111,4633539.8129771035,1813774.1817718733,0.07716307940052228,0.05624063989751712,0.14958113833107486,lambda,False,1,1.0,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,0.010918680348945942,0.005243055555555556,-0.09030009920634921,240276.89102456626,0.0015094400014296905
E225_D45,35,0.0,0.75,0.1211596378167212,0.2294762749968381,0.3348638470580465,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9901886129569837,0.0035017021598173427,0.9999490832879087,0.9999636014961246,222792437.91532132,44997708.74795589,74997270.11220935,0.06417844742063492,31.88485119047619,703.5111396329364,3330690.8197433036,0.0582750496031746,0.07703125000000001,4747058.010601036,1911128.484761265,0.07695887614628802,0.05613078737557733,0.15002759086508433,rho_A,False,0.75,0.75,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,0.010635755322604634,0.006217137896825396,-0.09055059523809525,337631.1940139581,0.0013995874794899
E225_D45,35,0.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.979552857634379,0.006286345110972819,0.9999557029275647,0.9999636812711535,220399392.9677353,44998006.63174041,74997276.09533651,0.15472904265873016,23.962557663690475,967.3635825892858,3348981.274027778,0.05205791170634921,0.06998697916666666,4071224.163133328,1573497.290747307,0.08338579148934436,0.05473119989608743,0.1499072648858159,rho_A,True,1,1.0,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,0.0,0.0,0.0,0.0,0.0
E225_D45,35,0.0,1.25,0.1211596378167212,0.2294762749968381,0.3348638470580465,225000000.0,450000000.0,45000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9320147717751424,0.01005840792815972,0.9999708998548226,0.9999635621899596,209703323.64940703,44998690.49346702,74997267.16424698,0.46553881448412693,6.44184585813492,1578.9837475198415,3365724.604264013,0.04876364087301587,0.0606671626984127,3255587.536004123,1242931.840268469,0.0691622945599073,0.054827093279680064,0.1497261082195213,rho_A,False,1.25,1.25,0.979552857634379,0.05205791170634921,0.15472904265873016,1573497.290747307,0.05473119989608743,-0.04753808585923669,-0.003294270833333335,0.31080977182539676,-330565.45047883806,9.58933835926365e-05
E250_D60,21,0.0,1.0,0.1170668159071278,0.2017901574997101,0.4784376616162406,250000000.0,500000000.0,60000000.0,90000000.0,75000000.0,304894385.26551247,capacity_constrained,0.9820450982179514,0.0038093109841974633,0.990177981385941,0.9999744846839297,245511274.55448782,59410678.88315646,74998086.35129473,0.1857409474206349,5.851064608134921,34.76153149801587,3646680.177103175,0.18650235615079366,0.19495845734126982,18853068.30505439,7038716.971054526,0.12005101014424199,0.1299145323337456,0.14969221929902732,elasticity_window,False,21 days,21.0,0.9791178061640191,0.19263640873015875,0.18594742063492065,7321837.384679087,0.07260637749559413,0.0029272920539322733,-0.006134052579365085,-0.00020647321428574061,-283120.4136245614,0.05730815483815148
E250_D60,35,0.0,1.0,0.1211596378167212,0.2294762749968381,0.3348638470580465,250000000.0,500000000.0,60000000.0,90000000.0,75000000.0,328281194.05229217,capacity_constrained,0.9791178061640191,0.005101842330440655,0.9998666304024899,0.9999619532630376,244779451.54100475,59991997.82414939,74997146.49472782,0.18594742063492065,7.734636656746032,141.3509623015873,2975805.15937438,0.19263640873015875,0.20071304563492062,19416836.466132477,7321837.384679087,0.10504811135403778,0.07260637749559413,0.14857331725294182,elasticity_window,True,35 days,35.0,0.9791178061640191,0.19263640873015875,0.18594742063492065,7321837.384679087,0.07260637749559413,0.0,0.0,0.0,0.0,0.0
E250_D60,60,0.0,1.0,0.0816682106235291,0.2046910570850992,0.279675525753271,250000000.0,500000000.0,60000000.0,90000000.0,75000000.0,160896940.00019467,demand_constrained,0.5909446783814911,0.009106446484594697,0.9841957155532074,0.9999557323720499,147736169.59537277,59051742.93319245,74996679.92790374,0.9450880456349207,1.0000638640873016,24.52349454365079,3396541.543953373,0.1926748511904762,0.19268229166666667,11034795.049485061,7924515.512426222,0.0009751115281126206,0.13841149569763728,0.14898295272267859,elasticity_window,False,60 days,60.0,0.9791178061640191,0.19263640873015875,0.18594742063492065,7321837.384679087,0.07260637749559413,-0.388173127782528,3.8442460317450466e-05,0.759140625,602678.1277471343,0.06580511820204314
